"id","title","description","availability","condition","price","link","image_link","brand","product_type"
"STAGO-ATRI","STAGO ATRI — pawilon modułowy na zamówienie","Jasne drewniane lamele, dużo szkła, przesuwne drzwi. Otwarte atrium. Cena od 25 293,72 zł brutto (20 564,00 zł netto, VAT 23%) dla bazy 4×3 m. Wymiary, elewację, stolarkę i wyposażenie ustalamy indywidualnie. Transport, montaż i termin potwierdzamy w ofercie. Wizualizacja poglądowa przedstawia przykładowy wariant.","available for order","new","25293.72 PLN","https://stago.com.pl/modele/atri.html","https://erp.stago.com.pl/modele/atri.webp","STAGO","Pawilony i kontenery modułowe"
"STAGO-MILA","STAGO MILA — pawilon modułowy na zamówienie","Pełna drewniana elewacja w jasnym odcieniu. Spokój i ciepło. Cena od 25 293,72 zł brutto (20 564,00 zł netto, VAT 23%) dla bazy 4×3 m. Wymiary, elewację, stolarkę i wyposażenie ustalamy indywidualnie. Transport, montaż i termin potwierdzamy w ofercie. Wizualizacja poglądowa przedstawia przykładowy wariant.","available for order","new","25293.72 PLN","https://stago.com.pl/modele/mila.html","https://erp.stago.com.pl/modele/mila.webp","STAGO","Pawilony i kontenery modułowe"
"STAGO-ICON","STAGO ICON — pawilon modułowy na zamówienie","Drewniana elewacja, wielkie narożne szkła. Studio architekta. Cena od 25 293,72 zł brutto (20 564,00 zł netto, VAT 23%) dla bazy 4×3 m. Wymiary, elewację, stolarkę i wyposażenie ustalamy indywidualnie. Transport, montaż i termin potwierdzamy w ofercie. Wizualizacja poglądowa przedstawia przykładowy wariant.","available for order","new","25293.72 PLN","https://stago.com.pl/modele/icon.html","https://erp.stago.com.pl/modele/icon.webp","STAGO","Pawilony i kontenery modułowe"
"STAGO-RYTM","STAGO RYTM — pawilon modułowy na zamówienie","Pionowe drewniane lamele w ramce, czarny front, symetryczne drzwi. Cena od 25 293,72 zł brutto (20 564,00 zł netto, VAT 23%) dla bazy 4×3 m. Wymiary, elewację, stolarkę i wyposażenie ustalamy indywidualnie. Transport, montaż i termin potwierdzamy w ofercie. Wizualizacja poglądowa przedstawia przykładowy wariant.","available for order","new","25293.72 PLN","https://stago.com.pl/modele/rytm.html","https://stago.com.pl/assets/modele/rytm.webp","STAGO","Pawilony i kontenery modułowe"
"STAGO-NORD","STAGO NORD — pawilon modułowy na zamówienie","Antracyt + drewno w narożnikach + ogromne szklenia. Skandynawski premium. Cena od 25 293,72 zł brutto (20 564,00 zł netto, VAT 23%) dla bazy 4×3 m. Wymiary, elewację, stolarkę i wyposażenie ustalamy indywidualnie. Transport, montaż i termin potwierdzamy w ofercie. Wizualizacja poglądowa przedstawia przykładowy wariant.","available for order","new","25293.72 PLN","https://stago.com.pl/modele/nord.html","https://erp.stago.com.pl/modele/nord.webp","STAGO","Pawilony i kontenery modułowe"
"STAGO-LOFT","STAGO LOFT — pawilon modułowy na zamówienie","Pionowe lamele, grafitowy dach, trzy duże witryny. Showroom-feel. Cena od 25 293,72 zł brutto (20 564,00 zł netto, VAT 23%) dla bazy 4×3 m. Wymiary, elewację, stolarkę i wyposażenie ustalamy indywidualnie. Transport, montaż i termin potwierdzamy w ofercie. Wizualizacja poglądowa przedstawia przykładowy wariant.","available for order","new","25293.72 PLN","https://stago.com.pl/modele/loft.html","https://erp.stago.com.pl/modele/loft.webp","STAGO","Pawilony i kontenery modułowe"
"STAGO-SAGA","STAGO SAGA — pawilon modułowy na zamówienie","Drewniana elewacja górna, grafit na dole, trzy witryny. Pod gastro. Cena od 25 293,72 zł brutto (20 564,00 zł netto, VAT 23%) dla bazy 4×3 m. Wymiary, elewację, stolarkę i wyposażenie ustalamy indywidualnie. Transport, montaż i termin potwierdzamy w ofercie. Wizualizacja poglądowa przedstawia przykładowy wariant.","available for order","new","25293.72 PLN","https://stago.com.pl/modele/saga.html","https://erp.stago.com.pl/modele/saga.webp","STAGO","Pawilony i kontenery modułowe"
"STAGO-VIEW","STAGO VIEW — pawilon modułowy na zamówienie","Drewniany pas górny, grafitowy korpus, panoramiczne narożne szkła. Cena od 25 293,72 zł brutto (20 564,00 zł netto, VAT 23%) dla bazy 4×3 m. Wymiary, elewację, stolarkę i wyposażenie ustalamy indywidualnie. Transport, montaż i termin potwierdzamy w ofercie. Wizualizacja poglądowa przedstawia przykładowy wariant.","available for order","new","25293.72 PLN","https://stago.com.pl/modele/view.html","https://erp.stago.com.pl/modele/view.webp","STAGO","Pawilony i kontenery modułowe"
"STAGO-DUET","STAGO DUET — pawilon modułowy na zamówienie","Grafitowy korpus, drewniane lamele po bokach, trzy witryny. Cena od 25 293,72 zł brutto (20 564,00 zł netto, VAT 23%) dla bazy 4×3 m. Wymiary, elewację, stolarkę i wyposażenie ustalamy indywidualnie. Transport, montaż i termin potwierdzamy w ofercie. Wizualizacja poglądowa przedstawia przykładowy wariant.","available for order","new","25293.72 PLN","https://stago.com.pl/modele/duet.html","https://erp.stago.com.pl/modele/duet.webp","STAGO","Pawilony i kontenery modułowe"
"STAGO-CUBE","STAGO CUBE — pawilon modułowy na zamówienie","Czarny modułowy kubik, drewniana wstawka jako akcent. Czysta geometria. Cena od 25 293,72 zł brutto (20 564,00 zł netto, VAT 23%) dla bazy 4×3 m. Wymiary, elewację, stolarkę i wyposażenie ustalamy indywidualnie. Transport, montaż i termin potwierdzamy w ofercie. Wizualizacja poglądowa przedstawia przykładowy wariant.","available for order","new","25293.72 PLN","https://stago.com.pl/modele/cube.html","https://erp.stago.com.pl/modele/cube.webp","STAGO","Pawilony i kontenery modułowe"
